payload,label_id,label_desc
id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0,normal
modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar,0,normal
id=2,0,normal
errorMsg=Credenciales+incorrectas,0,normal
modo=insertar&precio=2672&B1=Pasar+por+caja,0,normal
modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,0,normal
B2=Vaciar+carrito,0,normal
modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar,0,normal
id=3&nombre=Queso+Manchego&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0,normal
modo=entrar&login=magrath&pwd=1an0re%E15354&remember=off&B1=Entrar,0,normal
id=1,0,normal
errorMsg=Credenciales+incorrectas,0,normal
modo=insertar&precio=958&B1=Pasar+por+caja,0,normal
modo=registro&login=francois&password=patay&nombre=Gina&apellidos=Rofes&email=brando%40elsentidodelavida.lc&dni=61877469V&direccion=Hoyo+Higueron+32+3-F&ciudad=Herrer%EDa&cp=08880&provincia=Sevilla&ntc=6691710338743371&B1=Registrar,0,normal
B2=Vaciar+carrito,0,normal
modo=registro&login=misczak&password=prestamente&nombre=Daciano&apellidos=Fredes+Damas&email=mayworth%40sms24h.tr&dni=83835081N&direccion=Cami%F1o+Canexa+161+11%3FG&ciudad=Sencelles&cp=16842&provincia=Burgos&ntc=6343513594517926&B1=Registrar,0,normal
id=1&nombre=Queso+Manchego&precio=39&cantidad=81&B1=A%F1adir+al+carrito,0,normal
modo=entrar&login=quinn&pwd=incisivo&remember=off&B1=Entrar,0,normal
id=2,0,normal
errorMsg=Credenciales+incorrectas,0,normal
modo=insertar&precio=6429&B1=Pasar+por+caja,0,normal
modo=registro&login=del&password=repulsivo&nombre=Clodoveo&apellidos=Amayuela+Romay&email=bjelic%40tradedeficit.dd&dni=00792659X&direccion=C%2F+Gregal+56%2C+12%3FG&ciudad=Anguciana&cp=26329&provincia=Zamora&ntc=8927148583279843&B1=Registrar,0,normal
B2=Vaciar+carrito,0,normal
